1142
71.8,03/07/15 14:17:50
71.7,03/07/15 14:19:45
71.7,03/07/15 14:20:05
71.7,03/07/15 14:20:25
71.7,03/07/15 14:20:45
71.7,03/07/15 14:21:06
71.7,03/07/15 14:21:27
71.7,03/07/15 14:21:47
71.6,03/07/15 14:22:07
71.7,03/07/15 14:22:27
71.6,03/07/15 14:22:47
71.6,03/07/15 14:23:07
71.6,03/07/15 14:23:28
71.6,03/07/15 14:23:48
71.5,03/07/15 14:24:08
71.5,03/07/15 14:24:28
71.5,03/07/15 14:24:48
71.5,03/07/15 14:25:08
71.4,03/07/15 14:25:29
71.5,03/07/15 14:25:50
71.5,03/07/15 14:26:10
71.5,03/07/15 14:26:30
71.5,03/07/15 14:26:50
71.5,03/07/15 14:27:10
71.5,03/07/15 14:27:31
71.4,03/07/15 14:27:51
71.4,03/07/15 14:28:11
71.4,03/07/15 14:28:31
71.4,03/07/15 14:28:51
71.4,03/07/15 14:29:11
71.3,03/07/15 14:29:32
71.3,03/07/15 14:29:53
71.4,03/07/15 14:30:13
71.4,03/07/15 14:30:33
71.4,03/07/15 14:30:54
71.4,03/07/15 14:31:14
71.5,03/07/15 14:31:34
71.5,03/07/15 14:31:54
71.6,03/07/15 14:32:15
71.6,03/07/15 14:32:35
71.8,03/07/15 14:32:55
71.8,03/07/15 14:33:15
71.9,03/07/15 14:33:35
72.0,03/07/15 14:33:55
72.1,03/07/15 14:34:16
72.1,03/07/15 14:34:36
72.2,03/07/15 14:34:56
72.2,03/07/15 14:35:16
72.2,03/07/15 14:35:36
72.3,03/07/15 14:35:56
72.3,03/07/15 14:36:17
72.4,03/07/15 14:36:37
72.4,03/07/15 14:36:57
72.4,03/07/15 14:37:17
72.4,03/07/15 14:37:37
72.4,03/07/15 14:37:57
72.4,03/07/15 14:38:18
72.4,03/07/15 14:38:38
72.3,03/07/15 14:38:58
72.3,03/07/15 14:39:18
72.3,03/07/15 14:39:38
72.2,03/07/15 14:39:58
72.2,03/07/15 14:40:19
72.1,03/07/15 14:40:39
72.1,03/07/15 14:40:59
72.0,03/07/15 14:41:19
72.0,03/07/15 14:41:39
71.9,03/07/15 14:41:59
71.9,03/07/15 14:42:20
71.9,03/07/15 14:42:40
